INFO:root:2016-08-20 01:50:55.766549  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:50:55.766666 -> waiting for next log update
INFO:root:2016-08-20 01:51:55.942178  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:51:55.942584  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:51:56.038965  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:51:56.039122  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:51:56.039200 -> waiting for next log update
INFO:root:2016-08-20 01:52:56.225650  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:52:56.226041  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:52:56.323055  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:52:56.323232  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:52:56.323346 -> waiting for next log update
INFO:root:2016-08-20 01:53:56.498584  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:53:56.498837  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:53:56.600439  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:53:56.600720  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:53:56.600900 -> waiting for next log update
INFO:root:2016-08-20 01:54:56.786254  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:54:56.786634  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:54:56.886888  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:54:56.887047  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:54:56.887125 -> waiting for next log update
INFO:root:2016-08-20 01:55:57.068453  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:55:57.068853  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:55:57.166515  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:55:57.166680  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:55:57.166762 -> waiting for next log update
INFO:root:2016-08-20 01:56:57.353687  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:56:57.353899  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:56:57.452701  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:56:57.452868  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:56:57.452933 -> waiting for next log update
INFO:root:2016-08-20 01:57:57.625988  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:57:57.626196  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:57:57.724505  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:57:57.724666  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:57:57.724749 -> waiting for next log update
INFO:root:2016-08-20 01:58:57.909231  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:58:57.909601  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:58:58.011735  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:58:58.012090  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:58:58.012239 -> waiting for next log update
INFO:root:2016-08-20 01:59:58.199523  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:59:58.228254  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:59:58.332356  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:59:58.346691  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:59:58.346826 -> waiting for next log update
INFO:root:2016-08-20 02:00:58.489559  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 02:00:58.492837  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 02:00:58.606626  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 02:00:58.609573  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 02:00:58.609695 -> waiting for next log update
INFO:root:2016-08-20 02:01:58.765299  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 02:01:58.765736  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 02:01:58.944712  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 02:01:58.944889  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 02:01:58.945006 -> waiting for next log update
INFO:root:2016-08-20 02:02:59.133041  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 02:02:59.133359  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 02:02:59.267403  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 02:02:59.267576  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 02:02:59.267698 -> waiting for next log update
INFO:root:2016-08-20 02:03:59.453396  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 02:03:59.453736  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 02:03:59.555445  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 02:03:59.555604  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 02:03:59.555671 -> waiting for next log update
INFO:root:2016-08-20 02:04:59.741064  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 02:04:59.741482  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 02:04:59.874871  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 02:04:59.875057  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 02:04:59.875167 -> waiting for next log update
INFO:root:2016-08-20 02:06:00.062178  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 02:06:00.062516  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 02:06:00.157606  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 02:06:00.157977  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 02:06:00.158127 -> waiting for next log update
INFO:root:2016-08-20 02:07:00.337896  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 02:07:00.338299  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 02:07:00.435575  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 02:07:00.435737  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 02:07:00.435833 -> waiting for next log update
INFO:root:2016-08-20 02:08:00.622822  -> Fetch data Starts for 10.3.10.190....
